Command,Shortcut
Add-Cursor-Above,"Ctrl + Alt + UpArrow"
Add-Cursor-Below,"Ctrl + Alt + DownArrow"
Add-Cursors-to-Line-Ends,"Shift + Alt + I"
Add-Cursors-to-Bottom,"(None)"
Add-Cursors-to-Top,"(None)"
Select-All-Occurrences-of-Find-Match,"Ctrl + Shift + L"
Add-Selection-to-Next-Find-Match,"Ctrl + D"
Add-Selection-to-Previous-Find-Match,"(None)"
Change-All-Occurrences,"Ctrl + F2"
Cursor-Undo,"Ctrl + U"
Cursor-Redo,"(None)"
Focus-Next-Cursor,"(None)"
Focus-Previous-Cursor,"(None)"
Set-Selection-Anchor,"Ctrl + K, Ctrl + B"
Select-to-Bracket,"(None)"
Duplicate-Selection,"(None)"
Expand-Selection,"Shift + Alt + RightArrow"
Shrink-Selection,"Shift + Alt + LeftArrow"
Move-Last-Selection-to-Next-Find-Match,"Ctrl + K, Ctrl + D"
Move-Last-Selection-to-Previous-Find-Match,"(None)"
Copy-Line-Down,"Shift + Alt + DownArrow"
Copy-Line-Up,"Shift + Alt + UpArrow"
Move-Line-Down,"Alt + DownArrow"
Move-Line-Up,"Alt + UpArrow"
Insert-Line-Below,"Ctrl + Enter"
Insert-Line-Above,"Ctrl + Shift + Enter"
Join-Lines,"(None)"
Reverse-lines,"(None)"
Sort-Lines-Ascending,"(None)"
Sort-Lines-Descending,"(None)"
Delete-Line,"Ctrl + Shift + K"
Delete-Duplicate-Lines,"(None)"
Delete-Word,"(None)"
Delete-All-Left,"(None)"
Delete-All-Right,"(None)"
Trim-Trailing-Whitespace,"Ctrl + K, Ctrl + X"
Paste-as-Text,"(None)"
Paste-As...,"(None)"
Add-Line-Comment,"Ctrl + K, Ctrl + C"
Toggle-Line-Comment,"Ctrl + /"
Toggle-Block-Comment,"Shift + Alt + A"
Remove-Line-Comment,"Ctrl + K, Ctrl + U"
Toggle-Fold,"Ctrl + K, Ctrl + L"
Toggle-Fold-Recursively,"Ctrl + K, Ctrl + Shift + L"
Toggle-Import-Fold,"(None)"
Fold,"Ctrl + Shift + ["
Unfold,"Ctrl + Shift + ]"
Fold-All,"Ctrl + K, Ctrl + 0"
Unfold-All,"Ctrl + K, Ctrl + J"
Fold-Recursively,"Ctrl + K, Ctrl + ["
Unfold-Recursively,"Ctrl + K, Ctrl + ]"
Go-to-Line/Column...,"Ctrl + G"
Go-to-Bracket,"Ctrl + Shift + \"
Go-to-Next-Problem-(Error, Warning, Info),"Alt + F8"
Go-to-Previous-Problem-(Error, Warning, Info),"Shift + Alt + F8"
Command-Palette,"F1"
Convert-Indentation-to-Spaces,"(None)"
Convert-Indentation-to-Tabs,"(None)"
Change-Tab-Display-Size,"(None)"
Indent-Line,"Ctrl + ]"
Outdent-Line,"Ctrl + ["
Find,"Ctrl + F"
Find-Next,"Enter"
Find-Next-Selection,"Ctrl + F3"
Find-Previous,"Shift + Enter"
Find-Previous-Selection,"Ctrl + Shift + F3"
Replace,"Ctrl + H"
Replace-with-Next-Value,"Ctrl + Shift + ."
Replace-with-Previous-Value,"Ctrl + Shift + ,"
Show-Editor-Context-Menu,"Shift + F10"
Trigger-Suggest,"Ctrl + Space"
Toggle-High-Contrast-Theme,"(None)"
